"Sales Order #%s","Pesanan #%s"
"Invalid order currency","Mata uang sales"
"What is ipaymu?","Apa itu ipaymu?"
"Please click %shere%s to try again!","Silahkan klik %sdisini%s untuk mencoba lagi!"
"Ipaymu","Ipaymu"
"Please click %shere%s to process your payment at ipaymu","Silahkan klik %sdisini%s untuk memproses pembayaran Anda di ipaymu"
"Transaction Status: %s","Status Transaksi: %s"
"Ipaymu Transaction Status: ""%s""","Status Transaksi Ipaymu: ""%s""",
"Success","Berhasil"
"Pending","Pending"
"Processing","Sedang diproses"
"Cancelled","Batal"
"Check Status","Cek Status"
"Enabled","Aktif"
"Title","Judul/Nama"
"Ipaymu UserName","Username Ipaymu"
"APP Key","APP Key"
"New Order Status","Status Order Baru"
"Payment from Applicable Countries","Berlaku untuk negara"
"Specific Countries","Negara Tententu"
"All Allowed Countries","Semua Negara"
"Payment from Specific Countries","Pembayaran untuk negara tertentu"
"Instructions","Instruksi"
"Fixed Amount Fee","Biaya Tetap (dalam rupiah)"
"Percentage Fee","Biaya dalam Persen"
"Minimum Order Total","Total Minimum Pesanan"
"Sort Order","Urutan"
"in IDR","dalam rupiah"
"in %", "dalam persen %"